2026-04-23 00:57:08 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:13 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:18 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:23 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:28 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:33 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:38 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:44 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:49 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:54 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:57:59 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:04 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:09 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:14 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:19 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:24 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:29 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:34 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:58:34 INFO  SELL [BREAKEVEN_GUARD] AXTI pnl=-0.13% peakPnl=0.93% holdMs=567920
