2026-05-05 02:25:01 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:06 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:11 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:16 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:21 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:26 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:31 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:36 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:41 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:47 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:25:57 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:02 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:06 INFO  BUY [US] SMCX mode=VOLUME_BREAKOUT price=12.0400 qty=24 size=1.0000x score=90(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(3.98x) | VWAP: 0.92%(ABOVE slope=UP) | TREND: score=2 vel=0.08%/0.08%/0.00% | VOL: 1262959.0000/317324.5500 TO: 15206026.3600/3810245.9896 | entryNo=2
2026-05-05 02:26:06 WARN  BUY_REJECTED SMCX phase=NONE
2026-05-05 02:26:07 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:12 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:17 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:27 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:32 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:38 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:43 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:48 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:53 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:26:58 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:27:03 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:27:08 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:27:13 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:27:13 INFO  SELL_EXECUTED [US] SOXL mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=128.5136 qty=2 reason=TIME_STOP_SOFT pnl=-0.16% peakPnl=0.12% holdMs=304668 high=128.8800 avgPrice=128.7199 weightedPnl=-0.14% dailyPnl=0.96%
2026-05-05 02:27:17 WARN  SELL_REJECTED SOXL reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-05-05 02:27:18 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:27:23 INFO  BUY_FILLED SOXL phase=HOLDING
2026-05-05 02:27:23 INFO  SELL_EXECUTED [US] SOXL mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=128.6000 qty=2 reason=TIME_STOP_SOFT pnl=-0.09% peakPnl=0.12% holdMs=314804 high=128.8800 avgPrice=128.7199 weightedPnl=-0.08% dailyPnl=1.02%
2026-05-05 02:27:23 WARN  SELL_REJECTED SOXL reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-05-05 02:39:05 INFO  BUY [US] NVDL mode=VOLUME_BREAKOUT price=91.1700 qty=2 size=0.8000x score=90(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(1.84x) | VWAP: 0.82%(ABOVE slope=UP) | TREND: score=2 vel=0.08%/0.23%/-0.04% | VOL: 3339398.0000/1813077.6500 TO: 304085581.8800/165475862.7206 | entryNo=2
2026-05-05 02:43:09 INFO  BUY [US] SMU mode=BREAKOUT price=15.4300 qty=15 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.56x) | VWAP: 1.48%(ABOVE slope=UP) | TREND: score=3 vel=0.48%/0.48%/0.72% | VOL: 349403.0000/224030.1500 TO: 5391288.2900/3442515.0809 | entryNo=2
2026-05-05 02:43:09 WARN  BUY_REJECTED SMU phase=NONE
2026-05-05 03:38:07 INFO  BUY [US] SQQQ mode=BREAKOUT price=50.6700 qty=4 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.57x) | VWAP: 0.24%(ABOVE slope=UP) | TREND: score=3 vel=0.06%/0.13%/0.11% | VOL: 22637665.0000/14405194.4000 TO: 1147433062.0885/729295941.7486 | entryNo=2
2026-05-05 03:38:07 WARN  BUY_REJECTED SQQQ phase=NONE
2026-05-05 03:57:22 INFO  BUY [US] TSLL mode=VOLUME_BREAKOUT price=13.1500 qty=18 size=0.8000x score=90(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(1.84x) | VWAP: 0.18%(ABOVE slope=UP) | TREND: score=2 vel=0.31%/0.26%/-0.01% | VOL: 34397320.0000/18733285.8000 TO: 451953266.9440/245360134.5535 | entryNo=2
2026-05-05 03:57:22 WARN  BUY_REJECTED TSLL phase=NONE
2026-05-05 06:50:22 INFO  BUY [US] HOOD mode=VOLUME_BREAKOUT price=76.6800 qty=3 size=0.8000x score=90(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.22x) | VWAP: 0.25%(ABOVE slope=UP) | TREND: score=2 vel=0.16%/0.17%/0.00% | VOL: 21245289.0000/9559667.7500 TO: 1631638195.2000/733537852.8016 | entryNo=2
2026-05-05 07:00:06 INFO  BUY [US] IREN mode=VOLUME_BREAKOUT price=49.4800 qty=4 size=0.8000x score=82(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(1.67x) | VWAP: 0.21%(ABOVE slope=UP) | TREND: score=2 vel=0.02%/0.00%/0.14% | VOL: 63118038.0000/37864836.9500 TO: 3123080520.2400/1870735809.8174 | entryNo=2
2026-05-05 17:01:05 INFO  BUY [US] SOXL mode=VOLUME_BREAKOUT price=130.1600 qty=2 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(19.77x) | VWAP: 2.04%(ABOVE slope=UP) | TREND: score=3 vel=2.04%/2.04%/2.04% | VOL: 37642.0000/1904.0000 TO: 4899106.3000/247795.7450 | entryNo=1
2026-05-05 17:01:05 WARN  BUY pending timeout cleared for IREN
2026-05-05 17:01:05 INFO  BUY [US] IREN mode=VOLUME_BREAKOUT price=50.0000 qty=6 size=1.0000x score=105(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(20.00x) | VWAP: 0.00%(ABOVE slope=UP) | TREND: score=3 vel=1.25%/1.25%/1.25% | VOL: 25852.0000/1292.6500 TO: 1295185.2000/64761.7623 | entryNo=1
2026-05-05 17:01:20 INFO  BUY [US] TSLL mode=VOLUME_BREAKOUT price=13.2200 qty=22 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(20.00x) | VWAP: 0.00%(ABOVE slope=UP) | TREND: score=3 vel=0.30%/0.30%/0.30% | VOL: 226335.0000/11319.3500 TO: 2992148.7000/149641.6770 | entryNo=1
2026-05-05 17:03:08 WARN  BUY pending timeout cleared for HOOD
