2026-04-22 10:17:09 INFO  BUY [KRX] 209640 mode=VOLUME_BREAKOUT price=6380.0000 qty=78 size=1.0000x score=105(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.59x) | VWAP: 1.59%(ABOVE slope=UP) | TREND: score=3 vel=1.43%/1.92%/2.58% | VOL: 108413.0000/41899.4444 TO: 690590810.0000/262734196.6667 | entryNo=1
2026-04-22 10:17:09 WARN  BUY_REJECTED 209640 phase=NONE
2026-04-22 10:17:24 INFO  BUY [KRX] 024740 mode=EARLY_MOMENTUM price=4060.0000 qty=98 size=0.8000x score=70(CONV) | WHY: velShort=1.74% velMid=1.62% aboveVwap | VWAP: 0.19%(ABOVE slope=UP) | TREND: score=2 vel=1.74%/1.62%/-0.73% | VOL: 48924.0000/45598.5556 TO: 199854540.0000/185924873.3333 | entryNo=1
2026-04-22 10:17:25 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:17:29 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:17:35 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:17:40 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:17:45 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:17:50 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:17:55 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:00 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:05 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:10 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:15 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:20 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:25 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:30 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:35 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:40 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:45 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:50 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:18:55 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:00 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:05 INFO  BUY [KRX] 171120 mode=EARLY_MOMENTUM price=2710.0000 qty=147 size=0.8000x score=70(CONV) | WHY: velShort=1.69% velMid=0.93% aboveVwap | VWAP: 1.15%(ABOVE slope=UP) | TREND: score=3 vel=1.69%/0.93%/0.56% | VOL: 34871.0000/42270.0000 TO: 94326055.0000/113037372.7273 | entryNo=1
2026-04-22 10:19:05 WARN  BUY_REJECTED 171120 phase=NONE
2026-04-22 10:19:05 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:10 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:15 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:20 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:25 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:30 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:40 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:45 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:50 INFO  BUY_FILLED 024740 phase=HOLDING
2026-04-22 10:19:55 INFO  BUY_FILLED 024740 phase=HOLDING
